source_artifact,model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,model_family,feature_set,patience,max_epochs
results/metrics/benchmark_full_metrics.csv,weighted_degree,101,0,,,,0.05,,,,,,,0.3742424242424242,0.6367215921510522,0.4247787610619469,0.5255474452554745,0.631578947368421,0.45,0.609012023925253,80,113,0.5141129032258065,0.7333861912036872,0.5225225225225225,0.6344827586206897,0.7076923076923077,0.575,0.5821500180318705,80,111,0.4322751322751322,0.696507299297424,0.5431034482758621,0.670807453416149,0.675,0.6666666666666666,0.5331967221008329,81,116,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,betweenness_centrality,101,0,,,,0.05,,,,,,,0.522159090909091,0.6983243166315385,0.4513274336283185,0.4655172413793104,0.75,0.3375,0.5678761061946902,80,113,0.5129032258064516,0.7207503277694745,0.4144144144144144,0.4144144144144144,0.7419354838709677,0.2875,0.5920486813343957,80,111,0.5955908289241623,0.7407242538404242,0.5172413793103449,0.5333333333333333,0.8205128205128205,0.3950617283950617,0.5170210727969349,81,116,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,closeness_centrality,101,0,,,,0.05,,,,,,,0.6005681818181818,0.7300223343688037,0.3539823008849557,0.3177570093457944,0.6296296296296297,0.2125,0.6588322026706702,80,113,0.5008064516129033,0.7465129922974857,0.4414414414414414,0.4655172413793104,0.75,0.3375,0.6350526348471087,80,111,0.5573192239858906,0.7784824971667028,0.4482758620689655,0.3846153846153846,0.8695652173913043,0.2469135802469135,0.6381675561312893,81,116,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,composite_risk_score,101,0,,,,0.18,,,,,,,0.3450757575757576,0.6169520491625963,0.6814159292035398,0.8105263157894735,0.7,0.9625,0.2979881625148321,80,113,0.5032258064516129,0.7379583003492323,0.7387387387387387,0.8465608465608466,0.7339449541284404,1.0,0.2560872886271113,80,111,0.5294532627865961,0.7393447235623638,0.7068965517241379,0.8247422680412372,0.7079646017699115,0.9876543209876544,0.2458987860244386,81,116,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,gaussian_naive_bayes,101,0,,,,0.3099999999999999,,,,,,,0.6984848484848485,0.8453258193544478,0.7256637168141593,0.8287292817679558,0.7425742574257426,0.9375,0.2168587214777665,80,113,0.4780241935483871,0.6848948784195721,0.6486486486486487,0.7692307692307693,0.7303370786516854,0.8125,0.3216046642501829,80,111,0.4938271604938271,0.6947219378555987,0.6120689655172413,0.7398843930635839,0.6956521739130435,0.7901234567901234,0.3237379294438912,81,116,traditional_ml,full,,
results/metrics/benchmark_full_metrics.csv,no_graph_logistic,101,0,54.0,0.7629856860447773,True,0.4699999999999999,,,,,,,0.7219696969696969,0.8640331898190189,0.6991150442477876,0.8172043010752688,0.7169811320754716,0.95,0.2488606077090552,80,113,0.6133064516129032,0.7629856860447773,0.7297297297297297,0.8387096774193549,0.7358490566037735,0.975,0.2501344301375318,80,111,0.5707231040564373,0.7573957387139122,0.7068965517241379,0.8191489361702128,0.719626168224299,0.9506172839506172,0.2517192278457268,81,116,traditional_ml,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,no_graph_mlp,101,0,130.0,0.7351847295149223,True,0.05,8.0,,,,,,0.5412878787878788,0.750630447420044,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2492271782444189,80,113,0.5286290322580646,0.7351847295149223,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2492139169051113,80,111,0.6864197530864198,0.7831039261776819,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2489355109111262,81,116,traditional_ml,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,graphsage_mean_neighbor,101,0,93.0,0.8007753440643034,True,0.05,,,,,,,0.7337121212121213,0.8493482280976694,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2434213445231272,80,113,0.6048387096774194,0.8007753440643034,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2484164306721733,80,111,0.5855379188712522,0.7722318200427214,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.248519646759016,81,116,graph_model,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,random,101,1,,,,0.07,,,,,,,0.6112874779541446,0.7468104462295715,0.6896551724137931,0.8105263157894737,0.7064220183486238,0.9506172839506172,0.3031048058969107,81,116,0.4587121212121212,0.7190178582885711,0.7168141592920354,0.8279569892473119,0.7264150943396226,0.9625,0.3399522020259615,80,113,0.521774193548387,0.7572282424346608,0.6936936936936937,0.8152173913043477,0.7211538461538461,0.9375,0.3109894990415753,80,111,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,degree_centrality,101,1,,,,0.05,,,,,,,0.4994708994708994,0.650948018400194,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.2917672413793103,81,116,0.4939393939393939,0.7049525376865315,0.6902654867256637,0.8167539267015707,0.7027027027027027,0.975,0.3076769911504424,80,113,0.5493951612903226,0.692774721702477,0.7387387387387387,0.8465608465608466,0.7339449541284404,1.0,0.2565765765765765,80,111,network_heuristic,native_score,,
