profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,time_step,mean_susceptible,mean_infected_active,mean_recovered,mean_ever_infected,n_households
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,0,2.8636,0.9659,0.0,0.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,1,2.4432,1.3182,0.0682,1.3864,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,2,1.9091,1.7045,0.2159,1.9205,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,3,1.5114,1.9659,0.3523,2.3182,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,4,1.2045,2.0568,0.5682,2.625,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,5,0.9773,2.0909,0.7614,2.8523,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,6,0.8295,2.0341,0.9659,3.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,7,0.7273,2.0341,1.0682,3.1023,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,8,0.6477,1.9432,1.2386,3.1818,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,9,0.5455,1.9091,1.375,3.2841,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20146,1,3,gnn,10,0.5,1.8636,1.4659,3.3295,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,0,2.8068,0.9886,0.0,0.9886,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,1,2.5568,1.1591,0.0795,1.2386,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,2,2.125,1.4545,0.2159,1.6705,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,3,1.6705,1.7386,0.3864,2.125,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,4,1.375,1.8523,0.5682,2.4205,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,5,1.1477,1.8409,0.8068,2.6477,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,6,1.0,1.75,1.0455,2.7955,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,7,0.9432,1.6591,1.1932,2.8523,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,8,0.8977,1.4318,1.4659,2.8977,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,9,0.8409,1.3409,1.6136,2.9545,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,243,2,6,random,10,0.8182,1.2045,1.7727,2.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,0,2.8182,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,1,2.4318,1.2614,0.1023,1.3636,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,2,2.0341,1.5227,0.2386,1.7614,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,3,1.7159,1.6932,0.3864,2.0795,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,4,1.4659,1.7273,0.6023,2.3295,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,5,1.2045,1.7841,0.8068,2.5909,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,6,1.125,1.7273,0.9432,2.6705,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,7,0.9545,1.625,1.2159,2.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,8,0.8295,1.5682,1.3977,2.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10243,2,6,random,9,0.7614,1.4659,1.5682,3.0341,88
