profile,param_id,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,std_infected_per_hh,p2_5_infected_per_hh,p97_5_infected_per_hh,mean_reduction_vs_baseline_pct,std_reduction_vs_baseline_pct,p2_5_reduction_vs_baseline_pct,p97_5_reduction_vs_baseline_pct,n_runs
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,15,51,2.447,0.0671,2.3591,2.4994,27.3349,3.56,23.7437,31.8377,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,16,54,2.3561,0.0697,2.2767,2.4387,30.0977,1.8977,28.1942,32.5023,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,17,57,2.3523,0.0245,2.3205,2.3744,30.2028,0.9572,29.2067,31.3999,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,18,61,2.3447,0.0386,2.3079,2.3943,30.419,1.6898,28.9841,32.6233,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,19,64,2.1439,0.1118,2.008,2.267,36.3982,3.0749,34.0477,40.425,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,20,68,2.1818,0.0491,2.1181,2.2262,35.2782,0.4427,34.7169,35.7216,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,1,3,3.3636,0.0246,3.3318,3.3858,0.1834,1.8172,-1.6661,2.475,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,2,6,3.2197,0.0744,3.1301,3.3028,4.4937,0.0882,4.3839,4.5864,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,3,10,3.2917,0.0429,3.2614,3.3478,2.2793,3.4875,-2.1407,5.7749,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,4,13,3.1591,0.0609,3.084,3.2245,6.199,3.9851,1.6225,10.8932,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,5,17,3.1023,0.1046,3.0233,3.2392,7.8637,5.1362,1.1816,12.3579,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,6,20,3.053,0.0536,2.983,3.0909,9.3572,3.5503,5.6987,13.8144,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,7,23,2.9811,0.0567,2.9228,3.0523,11.5134,2.9871,9.3776,15.4222,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,8,27,2.8447,0.0703,2.7852,2.9364,15.6088,1.3869,14.2784,17.3871,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,9,30,2.875,0.0161,2.854,2.8864,14.6822,1.5882,12.9287,16.6091,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,10,34,2.7841,0.1217,2.6534,2.9341,17.4186,2.9289,15.1092,21.2526,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,11,37,2.6742,0.0511,2.6164,2.7352,20.6484,1.7132,18.5318,22.4801,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,12,40,2.6629,0.0386,2.6261,2.7125,20.9627,2.3398,19.1188,24.0256,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,13,44,2.6061,0.0597,2.5284,2.658,22.6456,2.8067,19.0092,25.1866,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,14,47,2.6553,0.0351,2.6256,2.7011,21.1907,2.1788,19.4654,24.0424,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,15,51,2.5758,0.1168,2.4489,2.7188,23.5019,4.8659,17.1448,27.5404,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,16,54,2.4849,0.0439,2.4443,2.5415,26.2596,1.8601,24.6175,28.6772,3
smoke,beta0.25_gamma0.10,0.25,0.1,random,17,57,2.4773,0.0482,2.4432,2.5404,26.4782,2.1654,24.6175,29.3001,3
