Node_A,Node_B,weight
304,306,280
304,308,1200
305,306,880
305,308,520
306,307,360
306,308,680
307,308,1080
309,310,1240
309,311,280
309,312,1600
309,313,240
309,314,8000
310,311,15320
310,312,123560
310,313,12920
310,314,5440
311,312,23080
311,313,17080
311,314,840
312,313,13720
312,314,17280
313,314,2760
315,316,1520
315,318,1040
316,317,13400
316,318,69720
317,318,10520
319,320,2680
319,321,120
319,322,15400
320,321,280
320,322,5240
321,322,640
323,324,2080
323,325,1160
323,326,12320
324,325,4160
324,326,3760
325,326,6000
327,328,2520
327,329,5080
328,329,34680
330,331,8200
330,332,20000
330,333,2720
330,334,29000
331,332,8800
331,333,4800
331,334,18280
332,333,6200
332,334,29960
333,334,23880
335,336,70480
335,337,17000
336,337,172160
338,339,3000
